Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
681-93-3140,A,Yangon,Normal,Male,Electronic accessories,62.07,2,6.207,130.347,3/30/2019,17:31,Ewallet,124.14,4.761904762,6.207,10.0
724-88-6697,B,Mandalay,Normal,Male,Electronic accessories,54.52,10,27.26,572.46,2/3/2019,10:58,Credit card,545.2,4.761904762,27.26,4.4
483-30-3592,B,Mandalay,Member,Male,Fashion accessories,36.92,6,11.076,232.596,1/24/2019,18:38,Cash,221.52,4.761904762,11.076,7.5
146-23-4939,A,Yangon,Normal,Female,Food and beverages,57.65,3,8.6475,181.5975,1/26/2019,14:59,Cash,172.95,4.761904762,8.6475,5.1
226-10-7233,A,Yangon,Member,Female,Sports and travel,80.27,9,36.1215,758.5515,1/10/2019,11:36,Cash,722.43,4.761904762,36.1215,8.7
163-22-6357,B,Mandalay,Member,Male,Health and beauty,54.09,9,24.3405,511.1505,2/7/2019,12:12,Cash,486.81,4.761904762,24.3405,5.4
928-74-1292,A,Yangon,Member,Female,Electronic accessories,83.54,10,41.77,877.17,1/2/2019,17:41,Cash,835.4,4.761904762,41.77,5.8
250-75-7591,B,Mandalay,Member,Female,Sports and travel,22.54,2,2.254,47.334,1/12/2019,19:36,Ewallet,45.08,4.761904762,2.254,6.0
451-94-8995,B,Mandalay,Member,Male,Home and lifestyle,49.0,7,17.15,360.15,1/26/2019,16:18,Ewallet,343.0,4.761904762,17.15,6.8
768-76-8061,C,Naypyitaw,Normal,Female,Fashion accessories,51.28,10,25.64,538.44,1/16/2019,11:04,Credit card,512.8,4.761904762,25.64,7.5
233-72-9458,C,Naypyitaw,Normal,Female,Food and beverages,31.91,9,14.3595,301.5495,3/9/2019,19:38,Cash,287.19,4.761904762,14.3595,7.8
302-11-4247,A,Yangon,Normal,Female,Home and lifestyle,92.91,3,13.9365,292.6665,1/11/2019,18:34,Cash,278.73,4.761904762,13.9365,7.0
342-94-5012,C,Naypyitaw,Member,Female,Food and beverages,43.81,9,19.7145,414.0045,3/20/2019,14:46,Ewallet,394.29,4.761904762,19.7145,4.7
694-97-8100,C,Naypyitaw,Member,Male,Fashion accessories,44.66,5,11.165,234.465,1/22/2019,16:07,Credit card,223.3,4.761904762,11.165,8.2
773-96-7198,B,Mandalay,Member,Male,Home and lifestyle,50.47,5,12.6175,264.9675,1/11/2019,20:32,Ewallet,252.35,4.761904762,12.6175,6.9
308-74-3894,A,Yangon,Normal,Female,Sports and travel,21.95,6,6.585,138.285,1/2/2019,14:49,Ewallet,131.7,4.761904762,6.585,8.9
397-67-3839,C,Naypyitaw,Normal,Male,Fashion accessories,38.32,8,15.328,321.888,3/7/2019,10:53,Ewallet,306.56,4.761904762,15.328,5.8
121-98-6140,A,Yangon,Member,Male,Electronic accessories,77.7,2,7.77,163.17,1/25/2019,11:56,Credit card,155.4,4.761904762,7.77,4.2
702-81-6710,A,Yangon,Normal,Female,Fashion accessories,40.68,6,12.204,256.284,2/17/2019,16:12,Cash,244.08,4.761904762,12.204,6.9
648-80-3658,A,Yangon,Member,Male,Health and beauty,40.08,9,18.036,378.756,1/11/2019,20:10,Ewallet,360.72,4.761904762,18.036,9.2
844-74-2638,C,Naypyitaw,Member,Male,Sports and travel,81.57,6,24.471,513.891,3/30/2019,18:34,Ewallet,489.42,4.761904762,24.471,7.2
231-88-9052,B,Mandalay,Member,Female,Food and beverages,69.12,3,10.368,217.728,1/13/2019,16:27,Cash,207.36,4.761904762,10.368,6.6
993-18-9059,C,Naypyitaw,Member,Male,Sports and travel,67.31,1,3.3655,70.6755,2/8/2019,13:14,Cash,67.31,4.761904762,3.3655,5.5
876-78-5479,C,Naypyitaw,Normal,Male,Home and lifestyle,41.81,6,12.543,263.403,3/19/2019,14:06,Cash,250.86,4.761904762,12.543,10.0
557-48-1263,B,Mandalay,Normal,Female,Sports and travel,53.69,8,21.476,450.996,1/24/2019,10:08,Ewallet,429.52,4.761904762,21.476,5.2
550-31-2801,B,Mandalay,Member,Male,Health and beauty,40.53,6,12.159,255.339,1/26/2019,14:20,Credit card,243.18,4.761904762,12.159,5.7
150-50-1430,A,Yangon,Normal,Male,Electronic accessories,42.09,10,21.045,441.945,3/15/2019,16:44,Credit card,420.9,4.761904762,21.045,7.9
863-89-8207,A,Yangon,Normal,Male,Electronic accessories,41.2,7,14.42,302.82,1/27/2019,19:03,Cash,288.4,4.761904762,14.42,4.0
370-24-5541,B,Mandalay,Normal,Female,Sports and travel,46.88,6,14.064,295.344,1/1/2019,20:06,Ewallet,281.28,4.761904762,14.064,9.1
705-11-8710,B,Mandalay,Normal,Male,Home and lifestyle,31.38,1,1.569,32.949,2/10/2019,19:15,Cash,31.38,4.761904762,1.569,8.0
494-82-1701,B,Mandalay,Member,Female,Electronic accessories,31.85,6,9.555,200.655,1/2/2019,10:52,Ewallet,191.1,4.761904762,9.555,8.5
482-50-1432,C,Naypyitaw,Normal,Male,Fashion accessories,55.95,2,5.595,117.495,3/23/2019,18:59,Ewallet,111.9,4.761904762,5.595,7.9
735-92-5864,B,Mandalay,Member,Male,Home and lifestyle,54.22,8,21.688,455.448,3/1/2019,12:26,Ewallet,433.76,4.761904762,21.688,6.7
455-66-4248,B,Mandalay,Normal,Female,Home and lifestyle,80.61,2,8.061,169.281,2/23/2019,16:02,Credit card,161.22,4.761904762,8.061,5.2
423-77-6317,B,Mandalay,Member,Female,Home and lifestyle,37.97,10,18.985,398.685,1/20/2019,20:00,Cash,379.7,4.761904762,18.985,6.7
337-46-8511,A,Yangon,Normal,Female,Electronic accessories,65.33,4,13.066,274.386,3/6/2019,19:51,Credit card,261.32,4.761904762,13.066,5.3
575-16-8712,A,Yangon,Member,Male,Food and beverages,50.63,5,12.6575,265.8075,3/4/2019,17:26,Cash,253.15,4.761904762,12.6575,7.8
765-33-9691,B,Mandalay,Member,Female,Home and lifestyle,45.43,2,4.543,95.403,1/6/2019,13:04,Cash,90.86,4.761904762,4.543,8.3
955-98-4399,A,Yangon,Normal,Female,Health and beauty,68.4,3,10.26,215.46,3/21/2019,15:50,Ewallet,205.2,4.761904762,10.26,9.5
930-81-8835,B,Mandalay,Normal,Male,Fashion accessories,65.95,10,32.975,692.475,2/23/2019,17:31,Cash,659.5,4.761904762,32.975,7.6
591-34-3040,C,Naypyitaw,Member,Male,Food and beverages,50.89,3,7.6335,160.3035,3/14/2019,15:20,Ewallet,152.67,4.761904762,7.6335,8.5
969-54-9350,A,Yangon,Normal,Female,Food and beverages,40.4,6,12.12,254.52,1/26/2019,14:27,Cash,242.4,4.761904762,12.12,6.5
598-57-1659,A,Yangon,Normal,Male,Fashion accessories,45.56,10,22.78,478.38,1/12/2019,14:13,Ewallet,455.6,4.761904762,22.78,6.2
461-59-1983,A,Yangon,Member,Female,Fashion accessories,27.38,7,9.583,201.243,3/6/2019,16:55,Cash,191.66,4.761904762,9.583,7.8
245-62-3232,A,Yangon,Normal,Female,Electronic accessories,45.49,1,2.2745,47.7645,3/14/2019,10:47,Cash,45.49,4.761904762,2.2745,6.3
729-50-4635,B,Mandalay,Member,Male,Sports and travel,46.8,4,9.36,196.56,2/6/2019,20:11,Ewallet,187.2,4.761904762,9.36,7.4
205-46-5879,B,Mandalay,Normal,Male,Sports and travel,37.77,4,7.554,158.634,1/3/2019,11:44,Ewallet,151.08,4.761904762,7.554,5.2
615-34-1250,C,Naypyitaw,Member,Male,Electronic accessories,67.92,3,10.188,213.948,3/16/2019,20:10,Credit card,203.76,4.761904762,10.188,5.5
940-95-9136,B,Mandalay,Member,Male,Electronic accessories,81.54,3,12.231,256.851,1/20/2019,10:27,Ewallet,244.62,4.761904762,12.231,8.1
360-63-2267,B,Mandalay,Normal,Male,Health and beauty,38.65,6,11.595,243.495,2/2/2019,15:44,Ewallet,231.9,4.761904762,11.595,8.5
914-10-5235,C,Naypyitaw,Normal,Female,Sports and travel,63.1,4,12.62,265.02,2/28/2019,14:02,Ewallet,252.4,4.761904762,12.62,5.3
870-74-8768,A,Yangon,Normal,Male,Food and beverages,26.39,3,3.9585,83.1285,1/11/2019,16:43,Cash,79.17,4.761904762,3.9585,8.1
546-18-1070,A,Yangon,Normal,Female,Food and beverages,39.51,5,9.8775,207.4275,1/8/2019,14:13,Cash,197.55,4.761904762,9.8775,6.1
236-15-5030,A,Yangon,Normal,Male,Electronic accessories,47.57,4,9.514,199.794,1/3/2019,19:41,Ewallet,190.28,4.761904762,9.514,7.0
145-26-4774,C,Naypyitaw,Normal,Male,Electronic accessories,70.83,3,10.6245,223.1145,3/24/2019,10:29,Cash,212.49,4.761904762,10.6245,9.4
761-70-1522,B,Mandalay,Normal,Male,Home and lifestyle,37.78,5,9.445,198.345,1/30/2019,20:01,Cash,188.9,4.761904762,9.445,8.3
912-58-4139,A,Yangon,Member,Female,Sports and travel,76.21,10,38.105,800.205,3/2/2019,17:45,Ewallet,762.1,4.761904762,38.105,8.3
444-85-5184,B,Mandalay,Member,Male,Fashion accessories,47.58,6,14.274,299.754,3/30/2019,18:15,Credit card,285.48,4.761904762,14.274,10.0
321-47-1615,A,Yangon,Member,Male,Fashion accessories,40.31,6,12.093,253.953,3/3/2019,11:57,Credit card,241.86,4.761904762,12.093,5.8
237-37-2982,C,Naypyitaw,Normal,Female,Fashion accessories,29.44,10,14.72,309.12,2/19/2019,10:50,Ewallet,294.4,4.761904762,14.72,5.3
414-15-6489,B,Mandalay,Member,Female,Food and beverages,49.56,7,17.346,364.266,2/18/2019,14:11,Ewallet,346.92,4.761904762,17.346,5.7
203-29-9800,B,Mandalay,Member,Male,Fashion accessories,68.11,3,10.2165,214.5465,2/5/2019,13:36,Ewallet,204.33,4.761904762,10.2165,6.5
105-34-5501,A,Yangon,Normal,Female,Home and lifestyle,54.92,4,10.984,230.664,2/25/2019,18:21,Ewallet,219.68,4.761904762,10.984,4.0
376-38-2143,B,Mandalay,Member,Male,Health and beauty,95.3,5,23.825,500.325,3/28/2019,19:36,Cash,476.5,4.761904762,23.825,6.6
480-77-6290,B,Mandalay,Member,Male,Health and beauty,80.74,5,20.185,423.885,3/13/2019,14:33,Cash,403.7,4.761904762,20.185,6.0
930-72-8106,A,Yangon,Normal,Female,Home and lifestyle,44.46,2,4.446,93.366,2/9/2019,18:17,Cash,88.92,4.761904762,4.446,8.3
488-64-6202,A,Yangon,Normal,Male,Electronic accessories,54.28,2,5.428,113.988,2/1/2019,10:39,Ewallet,108.56,4.761904762,5.428,7.6
831-54-4637,C,Naypyitaw,Member,Male,Health and beauty,63.45,4,12.69,266.49,3/21/2019,18:15,Ewallet,253.8,4.761904762,12.69,5.9
162-86-4919,C,Naypyitaw,Member,Female,Fashion accessories,36.92,10,18.46,387.66,1/14/2019,11:54,Credit card,369.2,4.761904762,18.46,8.0
817-70-1015,C,Naypyitaw,Member,Male,Electronic accessories,80.99,8,32.396,680.316,3/18/2019,17:56,Credit card,647.92,4.761904762,32.396,8.2
685-53-3157,A,Yangon,Normal,Female,Fashion accessories,58.51,9,26.3295,552.9195,1/25/2019,14:09,Ewallet,526.59,4.761904762,26.3295,5.7
337-66-1776,C,Naypyitaw,Normal,Female,Food and beverages,49.62,2,4.962,104.202,3/7/2019,14:43,Cash,99.24,4.761904762,4.962,6.1
645-85-1781,C,Naypyitaw,Member,Female,Sports and travel,70.37,5,17.5925,369.4425,3/15/2019,13:55,Cash,351.85,4.761904762,17.5925,4.0
107-15-7570,C,Naypyitaw,Normal,Female,Sports and travel,89.01,6,26.703,560.763,2/15/2019,14:07,Cash,534.06,4.761904762,26.703,5.1
862-97-1259,B,Mandalay,Member,Female,Electronic accessories,63.08,5,15.77,331.17,1/19/2019,19:44,Cash,315.4,4.761904762,15.77,5.7
533-14-4340,A,Yangon,Member,Female,Sports and travel,55.97,5,13.9925,293.8425,3/18/2019,18:56,Credit card,279.85,4.761904762,13.9925,7.1
376-63-9180,A,Yangon,Normal,Male,Electronic accessories,87.16,4,17.432,366.072,2/4/2019,13:13,Ewallet,348.64,4.761904762,17.432,5.4
823-15-3162,C,Naypyitaw,Member,Male,Fashion accessories,69.42,1,3.471,72.891,1/31/2019,13:34,Cash,69.42,4.761904762,3.471,6.1
347-32-4178,B,Mandalay,Member,Female,Electronic accessories,54.22,9,24.399,512.379,2/17/2019,15:47,Credit card,487.98,4.761904762,24.399,4.9
645-75-9457,A,Yangon,Member,Female,Electronic accessories,60.09,10,30.045,630.945,2/10/2019,17:20,Ewallet,600.9,4.761904762,30.045,7.3
731-36-2656,A,Yangon,Normal,Male,Food and beverages,48.52,1,2.426,50.946,3/4/2019,12:14,Ewallet,48.52,4.761904762,2.426,7.7
438-81-9939,B,Mandalay,Normal,Female,Sports and travel,64.51,5,16.1275,338.6775,1/14/2019,17:23,Credit card,322.55,4.761904762,16.1275,7.7
452-25-1044,A,Yangon,Normal,Male,Home and lifestyle,25.58,6,7.674,161.154,2/10/2019,20:20,Credit card,153.48,4.761904762,7.674,7.0
169-66-6307,C,Naypyitaw,Member,Female,Sports and travel,30.24,8,12.096,254.016,3/22/2019,19:43,Cash,241.92,4.761904762,12.096,4.4
678-12-4932,C,Naypyitaw,Member,Male,Health and beauty,39.03,10,19.515,409.815,1/4/2019,16:22,Credit card,390.3,4.761904762,19.515,5.9
262-39-6599,C,Naypyitaw,Normal,Male,Sports and travel,40.63,5,10.1575,213.3075,2/13/2019,13:22,Credit card,203.15,4.761904762,10.1575,6.3
347-68-3602,B,Mandalay,Member,Male,Electronic accessories,48.41,8,19.364,406.644,3/2/2019,13:56,Ewallet,387.28,4.761904762,19.364,6.3
558-50-4453,B,Mandalay,Normal,Male,Electronic accessories,71.42,10,35.71,749.91,3/22/2019,18:34,Cash,714.2,4.761904762,35.71,7.1
213-61-9909,B,Mandalay,Normal,Male,Health and beauty,51.96,9,23.382,491.022,2/24/2019,15:55,Credit card,467.64,4.761904762,23.382,9.4
678-76-8230,B,Mandalay,Member,Male,Electronic accessories,63.54,3,9.531,200.151,3/16/2019,11:42,Credit card,190.62,4.761904762,9.531,8.4
134-80-3181,A,Yangon,Normal,Male,Electronic accessories,37.96,9,17.082,358.722,1/22/2019,17:53,Ewallet,341.64,4.761904762,17.082,5.3
697-97-9047,B,Mandalay,Member,Male,Home and lifestyle,41.69,5,10.4225,218.8725,2/3/2019,11:11,Ewallet,208.45,4.761904762,10.4225,8.1
472-84-6566,A,Yangon,Member,Male,Electronic accessories,70.57,1,3.5285,74.0985,3/26/2019,20:56,Credit card,70.57,4.761904762,3.5285,8.1
219-31-9609,B,Mandalay,Normal,Male,Electronic accessories,70.71,8,28.284,593.964,3/22/2019,14:56,Ewallet,565.68,4.761904762,28.284,5.6
922-89-4457,A,Yangon,Normal,Male,Sports and travel,44.96,9,20.232,424.872,2/22/2019,13:02,Ewallet,404.64,4.761904762,20.232,8.4
388-81-1181,A,Yangon,Normal,Male,Health and beauty,57.91,4,11.582,243.222,2/14/2019,10:21,Credit card,231.64,4.761904762,11.582,6.7
906-63-6693,A,Yangon,Normal,Male,Food and beverages,84.58,5,21.145,444.045,2/12/2019,11:24,Cash,422.9,4.761904762,21.145,4.6
494-97-7745,B,Mandalay,Normal,Male,Fashion accessories,51.68,4,10.336,217.056,1/6/2019,20:25,Ewallet,206.72,4.761904762,10.336,7.7
148-56-8735,A,Yangon,Normal,Male,Home and lifestyle,37.52,2,3.752,78.792,3/22/2019,15:46,Ewallet,75.04,4.761904762,3.752,7.3
168-75-3201,C,Naypyitaw,Normal,Female,Fashion accessories,48.87,10,24.435,513.135,3/16/2019,19:41,Ewallet,488.7,4.761904762,24.435,6.6
555-88-5430,B,Mandalay,Member,Female,Health and beauty,56.66,1,2.833,59.493,2/13/2019,20:12,Credit card,56.66,4.761904762,2.833,6.9
133-11-7629,B,Mandalay,Normal,Female,Health and beauty,52.28,6,15.684,329.364,1/27/2019,10:36,Cash,313.68,4.761904762,15.684,5.7
936-35-9417,B,Mandalay,Normal,Female,Food and beverages,44.44,1,2.222,46.662,2/2/2019,14:58,Ewallet,44.44,4.761904762,2.222,8.0
506-15-5778,A,Yangon,Member,Female,Food and beverages,19.02,7,6.657,139.797,1/12/2019,19:26,Cash,133.14,4.761904762,6.657,6.9
975-32-9644,C,Naypyitaw,Member,Male,Food and beverages,27.67,10,13.835,290.535,3/8/2019,15:55,Ewallet,276.7,4.761904762,13.835,7.3
686-45-7240,B,Mandalay,Member,Female,Health and beauty,52.31,7,18.3085,384.4785,2/22/2019,15:38,Ewallet,366.17,4.761904762,18.3085,7.6
460-17-8835,C,Naypyitaw,Member,Female,Food and beverages,42.03,7,14.7105,308.9205,1/23/2019,16:55,Ewallet,294.21,4.761904762,14.7105,5.0
436-60-7698,A,Yangon,Normal,Female,Home and lifestyle,39.81,9,17.9145,376.2045,2/27/2019,17:54,Cash,358.29,4.761904762,17.9145,5.4
174-74-4286,B,Mandalay,Member,Female,Electronic accessories,56.81,10,28.405,596.505,3/29/2019,20:01,Ewallet,568.1,4.761904762,28.405,4.0
589-50-7998,B,Mandalay,Normal,Male,Health and beauty,56.1,9,25.245,530.145,1/12/2019,19:48,Ewallet,504.9,4.761904762,25.245,7.9
268-19-4698,C,Naypyitaw,Normal,Female,Fashion accessories,68.01,3,10.2015,214.2315,2/13/2019,16:11,Cash,204.03,4.761904762,10.2015,4.9
206-31-6916,B,Mandalay,Normal,Female,Health and beauty,53.21,6,15.963,335.223,2/16/2019,16:49,Cash,319.26,4.761904762,15.963,7.2
836-71-3859,B,Mandalay,Member,Male,Food and beverages,52.18,9,23.481,493.101,1/17/2019,13:48,Ewallet,469.62,4.761904762,23.481,7.6
832-46-2629,A,Yangon,Member,Female,Sports and travel,48.25,3,7.2375,151.9875,2/19/2019,11:15,Ewallet,144.75,4.761904762,7.2375,8.0
779-55-4334,A,Yangon,Normal,Male,Food and beverages,55.3,7,19.355,406.455,2/26/2019,17:03,Ewallet,387.1,4.761904762,19.355,4.9
694-74-3013,B,Mandalay,Normal,Female,Food and beverages,51.76,1,2.588,54.348,1/16/2019,10:25,Cash,51.76,4.761904762,2.588,6.9
205-56-1463,B,Mandalay,Normal,Female,Food and beverages,60.58,9,27.261,572.481,1/16/2019,17:18,Credit card,545.22,4.761904762,27.261,9.8
673-49-2929,A,Yangon,Normal,Male,Electronic accessories,72.84,7,25.494,535.374,3/19/2019,15:33,Ewallet,509.88,4.761904762,25.494,9.9
638-43-4495,C,Naypyitaw,Member,Female,Health and beauty,65.6,8,26.24,551.04,1/30/2019,18:04,Credit card,524.8,4.761904762,26.24,8.6
294-70-9125,C,Naypyitaw,Normal,Male,Sports and travel,56.23,9,25.3035,531.3735,2/28/2019,20:02,Credit card,506.07,4.761904762,25.3035,7.5
656-31-8499,A,Yangon,Member,Female,Home and lifestyle,54.41,3,8.1615,171.3915,2/28/2019,16:26,Ewallet,163.23,4.761904762,8.1615,5.3
208-35-1316,B,Mandalay,Member,Female,Health and beauty,74.14,5,18.535,389.235,3/17/2019,16:46,Ewallet,370.7,4.761904762,18.535,8.2
862-14-5915,A,Yangon,Normal,Female,Electronic accessories,48.26,9,21.717,456.057,3/9/2019,15:18,Ewallet,434.34,4.761904762,21.717,6.7
272-28-6473,C,Naypyitaw,Member,Female,Electronic accessories,48.69,2,4.869,102.249,3/17/2019,14:19,Ewallet,97.38,4.761904762,4.869,7.9
822-11-2427,A,Yangon,Member,Male,Health and beauty,58.27,9,26.2215,550.6515,2/27/2019,10:09,Cash,524.43,4.761904762,26.2215,5.9
357-93-1523,B,Mandalay,Member,Male,Health and beauty,62.48,3,9.372,196.812,2/12/2019,10:16,Ewallet,187.44,4.761904762,9.372,6.7
260-45-3930,C,Naypyitaw,Member,Male,Fashion accessories,37.17,6,11.151,234.171,2/7/2019,17:17,Credit card,223.02,4.761904762,11.151,7.2
143-58-6467,C,Naypyitaw,Normal,Male,Electronic accessories,58.65,6,17.595,369.495,2/6/2019,20:15,Cash,351.9,4.761904762,17.595,7.4
259-71-1510,A,Yangon,Member,Male,Fashion accessories,50.31,7,17.6085,369.7785,2/9/2019,10:20,Credit card,352.17,4.761904762,17.6085,7.8
757-33-3018,C,Naypyitaw,Normal,Male,Fashion accessories,12.12,9,5.454,114.534,1/13/2019,13:17,Credit card,109.08,4.761904762,5.454,6.0
276-87-5518,A,Yangon,Normal,Male,Health and beauty,51.05,4,10.21,214.41,2/9/2019,16:40,Cash,204.2,4.761904762,10.21,4.7
720-28-1509,A,Yangon,Member,Male,Food and beverages,42.17,2,4.217,88.557,2/7/2019,17:20,Credit card,84.34,4.761904762,4.217,9.7
134-49-3937,B,Mandalay,Member,Female,Sports and travel,55.11,5,13.7775,289.3275,1/4/2019,18:45,Credit card,275.55,4.761904762,13.7775,10.0
790-80-3797,B,Mandalay,Normal,Male,Food and beverages,70.49,7,24.6715,518.1015,1/27/2019,17:36,Cash,493.43,4.761904762,24.6715,7.7
489-43-7075,C,Naypyitaw,Normal,Female,Health and beauty,33.12,8,13.248,278.208,3/10/2019,10:38,Ewallet,264.96,4.761904762,13.248,4.7
666-67-1499,C,Naypyitaw,Normal,Male,Electronic accessories,45.16,8,18.064,379.344,2/23/2019,12:35,Cash,361.28,4.761904762,18.064,5.7
403-96-4075,A,Yangon,Normal,Male,Health and beauty,10.0,4,2.0,42.0,3/15/2019,15:55,Ewallet,40.0,4.761904762,2.0,7.8
256-27-1240,C,Naypyitaw,Member,Female,Sports and travel,49.34,10,24.67,518.07,2/20/2019,10:15,Cash,493.4,4.761904762,24.67,9.2
801-10-6364,A,Yangon,Member,Male,Fashion accessories,44.88,1,2.244,47.124,3/19/2019,13:58,Cash,44.88,4.761904762,2.244,4.9
459-18-8957,B,Mandalay,Normal,Male,Sports and travel,48.82,2,4.882,102.522,3/14/2019,14:12,Cash,97.64,4.761904762,4.882,6.8
767-82-9428,A,Yangon,Member,Female,Food and beverages,64.94,1,3.247,68.187,1/10/2019,20:08,Credit card,64.94,4.761904762,3.247,7.3
919-72-5803,C,Naypyitaw,Normal,Male,Fashion accessories,67.49,10,33.745,708.645,3/29/2019,13:49,Ewallet,674.9,4.761904762,33.745,8.4
726-49-2631,A,Yangon,Normal,Male,Sports and travel,59.4,2,5.94,124.74,1/2/2019,20:53,Cash,118.8,4.761904762,5.94,6.4
446-51-1417,A,Yangon,Normal,Female,Health and beauty,48.33,7,16.9155,355.2255,2/25/2019,17:05,Ewallet,338.31,4.761904762,16.9155,4.3
861-90-4779,B,Mandalay,Member,Male,Fashion accessories,70.47,9,31.7115,665.9415,3/14/2019,17:35,Credit card,634.23,4.761904762,31.7115,8.0
